season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
Spring,y0,m1,h10,No,w5,Yes,Clear,0.22,0.197,0.37,0.3284,16,47,63
Spring,y0,m1,h11,No,w5,Yes,Mist,0.2,0.197,0.4,0.2239,19,48,67
Spring,y0,m1,h12,No,w5,Yes,Mist,0.2,0.197,0.37,0.2537,9,50,59
Spring,y0,m1,h13,No,w5,Yes,Mist,0.2,0.1818,0.37,0.2836,9,64,73
Spring,y0,m1,h14,No,w5,Yes,Mist,0.2,0.197,0.4,0.2537,7,43,50
Spring,y0,m1,h15,No,w5,Yes,Mist,0.2,0.2121,0.37,0.1642,9,63,72
Spring,y0,m1,h16,No,w5,Yes,Mist,0.2,0.2121,0.37,0.1642,5,82,87
Spring,y0,m1,h17,No,w5,Yes,Mist,0.2,0.2576,0.37,0,9,178,187
Spring,y0,m1,h18,No,w5,Yes,Clear,0.2,0.2273,0.4,0.0896,7,116,123
Spring,y0,m1,h19,No,w5,Yes,Clear,0.16,0.197,0.55,0.0896,3,92,95
Spring,y0,m1,h20,No,w5,Yes,Clear,0.18,0.2121,0.47,0.1045,1,50,51
Spring,y0,m1,h21,No,w5,Yes,Clear,0.18,0.197,0.47,0.1343,0,39,39
Spring,y0,m1,h22,No,w5,Yes,Mist,0.18,0.197,0.43,0.1642,2,34,36
Spring,y0,m1,h23,No,w5,Yes,Mist,0.18,0.197,0.51,0.1642,1,14,15
Spring,y0,m1,h0,No,w6,No,Mist,0.18,0.197,0.51,0.1642,1,24,25
Spring,y0,m1,h1,No,w6,No,Mist,0.18,0.2121,0.55,0.0896,1,15,16
Spring,y0,m1,h2,No,w6,No,Mist,0.18,0.2424,0.55,0,3,13,16
Spring,y0,m1,h3,No,w6,No,Snow,0.18,0.197,0.55,0.1642,0,7,7
Spring,y0,m1,h4,No,w6,No,Snow,0.18,0.197,0.55,0.1642,0,1,1
Spring,y0,m1,h5,No,w6,No,Mist,0.16,0.1667,0.74,0.1642,0,5,5
Spring,y0,m1,h6,No,w6,No,Mist,0.16,0.1667,0.74,0.1642,0,2,2
Spring,y0,m1,h7,No,w6,No,Mist,0.16,0.1818,0.74,0.1045,1,8,9
Spring,y0,m1,h8,No,w6,No,Snow,0.16,0.1818,0.93,0.1045,0,15,15
Spring,y0,m1,h9,No,w6,No,Snow,0.16,0.1818,0.93,0.1045,0,20,20
Spring,y0,m1,h10,No,w6,No,Mist,0.18,0.197,0.8,0.1642,5,56,61
Spring,y0,m1,h11,No,w6,No,Mist,0.2,0.1818,0.69,0.3881,2,60,62
Spring,y0,m1,h12,No,w6,No,Mist,0.2,0.1818,0.59,0.3582,8,90,98
Spring,y0,m1,h13,No,w6,No,Clear,0.2,0.1818,0.44,0.3284,7,95,102
Spring,y0,m1,h14,No,w6,No,Clear,0.2,0.1667,0.32,0.4925,12,83,95
Spring,y0,m1,h15,No,w6,No,Clear,0.2,0.1667,0.32,0.4478,5,69,74
Spring,y0,m1,h16,No,w6,No,Clear,0.18,0.1364,0.29,0.4478,8,68,76
Spring,y0,m1,h17,No,w6,No,Clear,0.16,0.1212,0.37,0.5522,5,64,69
Spring,y0,m1,h18,No,w6,No,Clear,0.14,0.1212,0.39,0.2985,3,52,55
Spring,y0,m1,h19,No,w6,No,Clear,0.14,0.1212,0.36,0.2537,4,26,30
Spring,y0,m1,h20,No,w6,No,Clear,0.12,0.1212,0.36,0.2537,0,28,28
Spring,y0,m1,h21,No,w6,No,Clear,0.12,0.1061,0.39,0.3582,2,35,37
Spring,y0,m1,h22,No,w6,No,Clear,0.12,0.1061,0.36,0.3881,1,33,34
Spring,y0,m1,h23,No,w6,No,Clear,0.1,0.0606,0.39,0.4478,0,22,22
Spring,y0,m1,h0,No,w0,No,Clear,0.1,0.0758,0.42,0.3881,1,24,25
Spring,y0,m1,h1,No,w0,No,Clear,0.1,0.0606,0.42,0.4627,0,12,12
Spring,y0,m1,h2,No,w0,No,Clear,0.1,0.0606,0.46,0.4627,0,11,11
Spring,y0,m1,h3,No,w0,No,Clear,0.1,0.0758,0.46,0.4179,0,4,4
Spring,y0,m1,h4,No,w0,No,Clear,0.08,0.0909,0.53,0.194,0,1,1
Spring,y0,m1,h5,No,w0,No,Clear,0.08,0.0909,0.53,0.194,0,1,1
Spring,y0,m1,h6,No,w0,No,Clear,0.1,0.0909,0.49,0.2836,0,1,1
Spring,y0,m1,h7,No,w0,No,Clear,0.08,0.0909,0.53,0.194,1,5,6
Spring,y0,m1,h8,No,w0,No,Clear,0.1,0.0909,0.49,0.2836,0,10,10
Spring,y0,m1,h9,No,w0,No,Clear,0.12,0.0758,0.46,0.5224,0,19,19
Spring,y0,m1,h10,No,w0,No,Clear,0.14,0.1061,0.43,0.3881,0,49,49
Spring,y0,m1,h11,No,w0,No,Clear,0.16,0.1212,0.4,0.5224,2,47,49
Spring,y0,m1,h12,No,w0,No,Clear,0.18,0.1364,0.37,0.4478,4,79,83
Spring,y0,m1,h13,No,w0,No,Clear,0.2,0.1667,0.34,0.4478,6,69,75
Spring,y0,m1,h14,No,w0,No,Clear,0.22,0.1818,0.32,0.4627,8,64,72
Spring,y0,m1,h15,No,w0,No,Clear,0.22,0.197,0.35,0.3582,5,77,82
Spring,y0,m1,h16,No,w0,No,Clear,0.2,0.1667,0.34,0.4478,13,79,92
Spring,y0,m1,h17,No,w0,No,Clear,0.18,0.1515,0.37,0.3881,3,59,62
Spring,y0,m1,h18,No,w0,No,Clear,0.16,0.1364,0.4,0.3284,4,44,48
Spring,y0,m1,h19,No,w0,No,Clear,0.16,0.1364,0.43,0.3284,1,40,41
Spring,y0,m1,h20,No,w0,No,Clear,0.14,0.1212,0.46,0.2537,0,38,38
Spring,y0,m1,h21,No,w0,No,Clear,0.14,0.1061,0.46,0.4179,1,19,20
Spring,y0,m1,h22,No,w0,No,Clear,0.14,0.1212,0.46,0.2985,5,10,15
Spring,y0,m1,h23,No,w0,No,Clear,0.12,0.1364,0.5,0.194,0,6,6
Spring,y0,m1,h0,No,w1,Yes,Clear,0.12,0.1212,0.5,0.2836,2,3,5
Spring,y0,m1,h1,No,w1,Yes,Clear,0.12,0.1212,0.5,0.2836,1,0,1
Spring,y0,m1,h2,No,w1,Yes,Clear,0.12,0.1212,0.5,0.2239,0,3,3
Spring,y0,m1,h3,No,w1,Yes,Clear,0.12,0.1212,0.5,0.2239,0,1,1
Spring,y0,m1,h4,No,w1,Yes,Clear,0.1,0.1212,0.54,0.1343,1,2,3
Spring,y0,m1,h5,No,w1,Yes,Clear,0.1,0.1061,0.54,0.2537,0,3,3
Spring,y0,m1,h6,No,w1,Yes,Clear,0.12,0.1212,0.5,0.2836,0,31,31
Spring,y0,m1,h7,No,w1,Yes,Clear,0.12,0.1212,0.5,0.2239,2,75,77
Spring,y0,m1,h8,No,w1,Yes,Mist,0.12,0.1212,0.5,0.2836,4,184,188
Spring,y0,m1,h9,No,w1,Yes,Mist,0.14,0.1212,0.5,0.2537,2,92,94
Spring,y0,m1,h10,No,w1,Yes,Mist,0.14,0.1212,0.5,0.2985,0,31,31
Spring,y0,m1,h11,No,w1,Yes,Mist,0.16,0.1364,0.47,0.2836,2,28,30
Spring,y0,m1,h12,No,w1,Yes,Mist,0.2,0.1818,0.4,0.2836,5,47,52
Spring,y0,m1,h13,No,w1,Yes,Mist,0.2,0.1818,0.4,0.2836,4,50,54
Spring,y0,m1,h14,No,w1,Yes,Mist,0.2,0.197,0.4,0.2239,0,47,47
Spring,y0,m1,h15,No,w1,Yes,Mist,0.2,0.197,0.4,0.2239,2,43,45
Spring,y0,m1,h16,No,w1,Yes,Clear,0.2,0.2121,0.4,0.1343,4,70,74
Spring,y0,m1,h17,No,w1,Yes,Clear,0.2,0.2273,0.4,0.1045,4,174,178
Spring,y0,m1,h18,No,w1,Yes,Clear,0.2,0.197,0.4,0.2239,1,154,155
Spring,y0,m1,h19,No,w1,Yes,Clear,0.16,0.1667,0.47,0.1642,3,92,95
Spring,y0,m1,h20,No,w1,Yes,Clear,0.16,0.1667,0.5,0.1642,1,73,74
Spring,y0,m1,h21,No,w1,Yes,Clear,0.14,0.1364,0.59,0.194,1,37,38
Spring,y0,m1,h22,No,w1,Yes,Clear,0.14,0.1515,0.59,0.1642,2,22,24
Spring,y0,m1,h23,No,w1,Yes,Clear,0.14,0.1515,0.59,0.1642,0,18,18
Spring,y0,m1,h0,No,w2,Yes,Clear,0.14,0.1667,0.59,0.1045,2,10,12
Spring,y0,m1,h1,No,w2,Yes,Clear,0.14,0.1515,0.59,0.1642,0,3,3
Spring,y0,m1,h2,No,w2,Yes,Mist,0.16,0.1515,0.55,0.194,0,3,3
Spring,y0,m1,h5,No,w2,Yes,Mist,0.16,0.1818,0.55,0.1343,0,6,6
Spring,y0,m1,h6,No,w2,Yes,Mist,0.16,0.1818,0.55,0.1343,0,27,27
Spring,y0,m1,h7,No,w2,Yes,Mist,0.16,0.2273,0.55,0,2,97,99
Spring,y0,m1,h8,No,w2,Yes,Mist,0.18,0.2121,0.51,0.0896,3,214,217
Spring,y0,m1,h9,No,w2,Yes,Mist,0.18,0.197,0.51,0.1642,3,127,130
Spring,y0,m1,h10,No,w2,Yes,Mist,0.2,0.2121,0.51,0.1642,3,51,54
Spring,y0,m1,h11,No,w2,Yes,Mist,0.2,0.2121,0.47,0.1343,4,31,35
Spring,y0,m1,h12,No,w2,Yes,Mist,0.2,0.2273,0.51,0.1045,2,55,57
Spring,y0,m1,h13,No,w2,Yes,Mist,0.2,0.2273,0.59,0.0896,6,46,52
Spring,y0,m1,h14,No,w2,Yes,Mist,0.2,0.2273,0.59,0.0896,3,60,63
Spring,y0,m1,h15,No,w2,Yes,Mist,0.16,0.197,0.8,0.0896,2,45,47
Spring,y0,m1,h16,No,w2,Yes,Mist,0.16,0.1515,0.86,0.2239,4,72,76
Spring,y0,m1,h17,No,w2,Yes,Mist,0.16,0.1515,0.86,0.2239,6,130,136
Spring,y0,m1,h18,No,w2,Yes,Snow,0.16,0.1818,0.93,0.1045,1,94,95
Spring,y0,m1,h19,No,w2,Yes,Snow,0.16,0.2273,0.93,0,0,51,51
Spring,y0,m1,h20,No,w2,Yes,Snow,0.16,0.1515,0.93,0.194,0,32,32
Spring,y0,m1,h21,No,w2,Yes,Snow,0.16,0.197,0.86,0.0896,0,20,20
Spring,y0,m1,h22,No,w2,Yes,Snow,0.16,0.1818,0.93,0.1045,1,28,29
Spring,y0,m1,h23,No,w2,Yes,Snow,0.16,0.197,0.93,0.0896,1,18,19
Spring,y0,m1,h0,No,w3,Yes,Mist,0.16,0.197,0.86,0.0896,0,7,7
Spring,y0,m1,h1,No,w3,Yes,Mist,0.16,0.1818,0.86,0.1045,0,6,6
Spring,y0,m1,h2,No,w3,Yes,Clear,0.14,0.1515,0.86,0.1343,0,1,1
Spring,y0,m1,h5,No,w3,Yes,Clear,0.14,0.1515,0.86,0.1642,0,5,5
Spring,y0,m1,h6,No,w3,Yes,Clear,0.12,0.1515,0.93,0.1343,0,16,16
Spring,y0,m1,h7,No,w3,Yes,Clear,0.14,0.1515,0.69,0.1343,0,54,54
Spring,y0,m1,h8,No,w3,Yes,Clear,0.16,0.1667,0.59,0.1642,3,125,128
Spring,y0,m1,h9,No,w3,Yes,Clear,0.16,0.1364,0.59,0.3284,3,78,81
Spring,y0,m1,h10,No,w3,Yes,Clear,0.18,0.1818,0.55,0.2239,0,39,39
Spring,y0,m1,h11,No,w3,Yes,Clear,0.2,0.1818,0.51,0.3881,3,32,35
Spring,y0,m1,h12,No,w3,Yes,Clear,0.2,0.1515,0.47,0.5821,3,52,55
Spring,y0,m1,h13,No,w3,Yes,Clear,0.22,0.197,0.44,0.3582,0,49,49
Spring,y0,m1,h14,No,w3,Yes,Clear,0.2,0.1818,0.47,0.3284,0,44,44
Spring,y0,m1,h15,No,w3,Yes,Clear,0.2,0.1667,0.47,0.4179,1,48,49
Spring,y0,m1,h16,No,w3,Yes,Clear,0.22,0.197,0.44,0.3284,5,63,68
Spring,y0,m1,h17,No,w3,Yes,Clear,0.2,0.1818,0.47,0.3582,0,139,139
Spring,y0,m1,h18,No,w3,Yes,Clear,0.2,0.1515,0.47,0.5224,2,135,137
Spring,y0,m1,h19,No,w3,Yes,Clear,0.18,0.1515,0.47,0.4179,1,82,83
Spring,y0,m1,h20,No,w3,Yes,Clear,0.16,0.1364,0.5,0.3284,2,54,56
Spring,y0,m1,h21,No,w3,Yes,Clear,0.16,0.1364,0.55,0.3284,0,57,57
Spring,y0,m1,h22,No,w3,Yes,Clear,0.16,0.1212,0.55,0.4478,1,32,33
Spring,y0,m1,h23,No,w3,Yes,Clear,0.14,0.1061,0.59,0.4179,1,19,20
Spring,y0,m1,h0,No,w4,Yes,Clear,0.14,0.1212,0.59,0.2836,1,6,7
Spring,y0,m1,h1,No,w4,Yes,Clear,0.14,0.1212,0.5,0.2836,0,2,2
Spring,y0,m1,h2,No,w4,Yes,Clear,0.14,0.1212,0.5,0.3582,0,2,2
Spring,y0,m1,h3,No,w4,Yes,Clear,0.14,0.1212,0.5,0.3284,0,3,3
Spring,y0,m1,h4,No,w4,Yes,Clear,0.14,0.1212,0.5,0.2537,0,4,4
Spring,y0,m1,h5,No,w4,Yes,Clear,0.14,0.1212,0.5,0.2985,0,3,3
Spring,y0,m1,h6,No,w4,Yes,Clear,0.12,0.1515,0.54,0.1343,0,28,28
